IdxCd,IdxNm,TrdDt,OpPr,HiPr,LoPr,ClPr
399001,深证成指,2011-06-28,12056.53,12067.09,11929.00,12047.09
399001,深证成指,2011-06-29,12048.86,12102.35,11911.83,11913.20
399001,深证成指,2011-06-30,11935.83,12157.56,11930.35,12110.93
399001,深证成指,2011-07-01,12148.97,12267.81,12087.92,12178.08
399001,深证成指,2011-07-04,12241.66,12475.39,12241.66,12441.17
399001,深证成指,2011-07-05,12432.97,12486.71,12382.82,12440.37
399001,深证成指,2011-07-06,12420.63,12446.78,12311.15,12425.68
399001,深证成指,2011-07-07,12440.86,12548.98,12375.23,12392.93
399001,深证成指,2011-07-08,12390.34,12478.84,12343.66,12404.34
399001,深证成指,2011-07-11,12357.58,12494.24,12302.24,12438.56
399001,深证成指,2011-07-12,12344.06,12381.10,12232.22,12268.19
399001,深证成指,2011-07-13,12285.88,12491.38,12285.88,12479.15
399001,深证成指,2011-07-14,12515.69,12546.51,12355.22,12440.83
399001,深证成指,2011-07-15,12390.10,12511.39,12355.58,12506.94
399001,深证成指,2011-07-18,12511.68,12537.79,12461.06,12490.55
399001,深证成指,2011-07-19,12429.23,12448.03,12358.55,12381.46
399001,深证成指,2011-07-20,12445.69,12470.00,12277.39,12393.99
399001,深证成指,2011-07-21,12390.00,12425.49,12296.25,12301.41
399001,深证成指,2011-07-22,12331.14,12432.03,12307.75,12352.50
399001,深证成指,2011-07-25,12258.12,12289.51,11919.85,11966.24
399001,深证成指,2011-07-26,11951.93,12011.59,11909.70,12008.53
399001,深证成指,2011-07-27,11922.66,12143.69,11885.90,12116.86
399001,深证成指,2011-07-28,12014.36,12093.97,11952.34,12085.92
399001,深证成指,2011-07-29,12069.96,12116.38,11915.22,11990.43
399001,深证成指,2011-08-01,11975.27,12074.94,11940.89,12002.42
399001,深证成指,2011-08-02,11927.46,11932.04,11752.60,11932.04
399001,深证成指,2011-08-03,11813.38,12011.86,11809.98,11922.37
399001,深证成指,2011-08-04,11954.44,12047.87,11901.46,11934.41
399001,深证成指,2011-08-05,11585.94,11769.68,11547.15,11701.76
399001,深证成指,2011-08-08,11576.57,11693.98,11107.11,11312.63
399001,深证成指,2011-08-09,11007.55,11380.07,10926.47,11315.08
399001,深证成指,2011-08-10,11519.31,11574.75,11441.91,11449.58
399001,深证成指,2011-08-11,11260.42,11627.49,11260.42,11627.49
399001,深证成指,2011-08-12,11683.62,11738.87,11630.29,11651.29
399001,深证成指,2011-08-15,11686.43,11767.74,11611.23,11767.74
399001,深证成指,2011-08-16,11782.13,11797.42,11628.35,11665.41
399001,深证成指,2011-08-17,11648.01,11726.16,11577.80,11598.28
399001,深证成指,2011-08-18,11597.12,11618.52,11399.67,11414.16
399001,深证成指,2011-08-19,11218.66,11337.57,11191.55,11301.53
399001,深证成指,2011-08-22,11315.30,11377.45,11083.40,11112.64
399001,深证成指,2011-08-23,11146.64,11243.42,11120.59,11243.42
399001,深证成指,2011-08-24,11313.98,11369.98,11225.52,11238.95
399001,深证成指,2011-08-25,11268.80,11605.07,11229.40,11598.93
399001,深证成指,2011-08-26,11547.55,11599.88,11472.28,11568.17
399001,深证成指,2011-08-29,11464.88,11484.45,11356.57,11372.38
399001,深证成指,2011-08-30,11457.93,11573.28,11328.99,11344.45
399001,深证成指,2011-08-31,11371.25,11436.12,11306.28,11397.48
399001,深证成指,2011-09-01,11425.11,11491.35,11308.95,11352.86
399001,深证成指,2011-09-02,11324.01,11353.97,11176.04,11228.30
399001,深证成指,2011-09-05,11129.37,11131.78,10954.90,10954.90
399001,深证成指,2011-09-06,10887.59,10966.73,10736.33,10778.43
399001,深证成指,2011-09-07,10852.08,11011.18,10810.91,11011.18
399001,深证成指,2011-09-08,11063.01,11069.41,10933.31,10933.31
399001,深证成指,2011-09-09,10990.50,11101.71,10850.50,10892.39
399001,深证成指,2011-09-13,10738.60,10806.37,10669.47,10775.30
399001,深证成指,2011-09-14,10807.62,10847.18,10604.64,10822.40
399001,深证成指,2011-09-15,10839.58,10938.82,10813.20,10848.02
399001,深证成指,2011-09-16,10905.59,10955.63,10860.05,10878.23
399001,深证成指,2011-09-19,10815.80,10815.80,10646.49,10657.63
399001,深证成指,2011-09-20,10635.47,10740.94,10569.19,10679.30
399001,深证成指,2011-09-21,10683.29,11035.24,10639.42,10991.85
399001,深证成指,2011-09-22,10896.61,10941.80,10660.47,10660.47
399001,深证成指,2011-09-23,10466.03,10618.12,10392.91,10538.40
399001,深证成指,2011-09-26,10433.11,10602.09,10299.35,10328.47
