,open,high,low,close,volume,money
2005-03-16,1267.05,1268.19,1247.89,1255.59,1366337300.00,8330513791.00
2005-03-17,1255.98,1257.79,1242.51,1243.47,1289554300.00,7813701046.00
2005-03-18,1242.45,1248.03,1223.62,1227.40,1245243200.00,7341657941.00
2005-03-21,1226.14,1232.82,1220.82,1231.05,996368700.00,5815375653.00
2005-03-22,1230.68,1231.68,1202.43,1206.92,1465330900.00,8148375027.00
2005-03-23,1205.76,1218.01,1194.32,1201.65,1344060500.00,7851213142.00
2005-03-24,1200.26,1208.61,1187.58,1208.19,1147719000.00,6700150732.00
2005-03-25,1207.20,1211.16,1199.87,1205.63,952758900.00,5076361282.00
2005-03-28,1204.85,1204.85,1185.46,1200.11,902323300.00,4909951020.00
2005-03-29,1199.69,1209.23,1194.59,1195.02,923316000.00,5191811880.00
2005-03-30,1192.45,1192.45,1171.81,1172.57,1138348100.00,6153729562.00
2005-03-31,1168.83,1181.53,1162.03,1181.24,1043779000.00,5371672145.00
2005-04-01,1180.37,1237.80,1173.54,1223.57,1966033200.00,10792487064.00
2005-04-04,1212.12,1218.28,1196.94,1202.97,1379440100.00,7947332071.00
2005-04-05,1200.69,1209.34,1189.26,1191.74,1158268400.00,6448636873.00
2005-04-06,1191.20,1220.41,1183.91,1214.87,1672796600.00,9920447929.00
2005-04-07,1216.73,1248.06,1213.65,1225.49,2427681400.00,14120362984.00
2005-04-08,1225.05,1249.20,1218.76,1248.52,1776899800.00,10084950499.00
2005-04-11,1248.15,1252.81,1235.36,1240.97,1930075700.00,11032464803.00
2005-04-12,1239.13,1239.13,1218.51,1219.51,1307588100.00,7600585399.00
2005-04-13,1228.97,1254.32,1228.97,1248.20,1954707100.00,11064208873.00
2005-04-14,1252.21,1253.60,1233.24,1234.33,1561619800.00,8614317309.00
2005-04-15,1229.68,1229.68,1213.20,1216.96,1426229800.00,7801305382.00
2005-04-18,1212.39,1212.39,1190.98,1197.73,1167117600.00,6296262216.00
2005-04-19,1196.28,1202.49,1191.23,1199.90,1095012600.00,6108772712.00
2005-04-20,1198.96,1198.96,1178.64,1184.19,1118298400.00,5938905955.00
2005-04-21,1182.20,1190.54,1167.99,1172.56,1326684400.00,7070086218.00
2005-04-22,1171.03,1177.88,1163.40,1169.19,1357836300.00,7266510531.00
2005-04-25,1166.34,1166.34,1146.41,1157.97,1354764800.00,6908598428.00
2005-04-26,1155.64,1169.14,1151.64,1165.34,1397414100.00,7207425085.00
2005-04-27,1165.10,1166.20,1148.14,1148.76,1361286500.00,7082585050.00
2005-04-28,1145.75,1172.71,1135.73,1169.12,1741974300.00,9044192155.00
2005-04-29,1168.33,1170.20,1155.98,1159.15,1410569600.00,7352285704.00
2005-05-09,1160.62,1165.39,1130.41,1130.84,1086935000.00,5551480596.00
2005-05-10,1126.82,1135.80,1108.42,1135.56,1316415400.00,6768361115.00
2005-05-11,1134.60,1140.17,1121.87,1124.27,1099556900.00,5633261021.00
2005-05-12,1122.18,1122.92,1099.84,1103.99,1235588300.00,6506232863.00
2005-05-13,1101.61,1120.17,1093.28,1107.63,1347494700.00,6567864533.00
2005-05-16,1105.40,1105.40,1082.14,1095.47,1022775900.00,5058195546.00
2005-05-17,1091.26,1108.18,1083.94,1099.64,1156872700.00,5353712649.00
2005-05-18,1099.74,1108.84,1090.30,1102.96,1037840800.00,5061369090.00
2005-05-19,1101.75,1107.23,1083.12,1103.47,1065816600.00,5120491771.00
2005-05-20,1100.49,1108.61,1094.67,1099.27,958404100.00,4520424454.00
2005-05-23,1095.31,1095.31,1069.43,1070.84,953394500.00,4305639056.00
2005-05-24,1066.00,1078.10,1057.54,1073.85,1102945400.00,5065246159.00
2005-05-25,1072.52,1082.18,1064.88,1072.14,980759700.00,4489152091.00
2005-05-26,1071.21,1077.44,1055.82,1058.87,949855600.00,4454779104.00
2005-05-27,1056.32,1068.21,1050.06,1051.95,1014625100.00,4902913660.00
2005-05-30,1049.72,1063.95,1043.28,1060.16,859981600.00,4083244334.00
2005-05-31,1061.61,1070.50,1057.75,1060.74,923922400.00,4241956998.00
2005-06-01,1059.61,1063.52,1035.71,1039.19,1006249000.00,4695648667.00
2005-06-02,1036.73,1036.73,1008.75,1016.06,1146555600.00,5557807400.00
2005-06-03,1013.90,1019.92,1000.52,1013.64,1001626800.00,4502218664.00
2005-06-06,1010.38,1034.85,998.23,1034.38,1104359900.00,5027262794.00
2005-06-07,1036.62,1055.63,1029.54,1030.94,1570305300.00,7466015889.00
2005-06-08,1044.18,1118.69,1040.16,1115.58,4028285200.00,19011909799.00
2005-06-09,1118.81,1146.42,1103.68,1131.05,4069092800.00,19595252127.00
2005-06-10,1130.55,1130.55,1101.83,1108.29,2841080100.00,13613185618.00
2005-06-13,1105.96,1112.10,1085.87,1106.29,1920377900.00,8935488315.00
2005-06-14,1108.34,1119.68,1092.40,1093.46,1836825500.00,8745408882.00
2005-06-15,1090.46,1090.46,1070.07,1072.84,1526763300.00,7353765066.00
2005-06-16,1071.77,1086.35,1064.03,1086.01,1448308300.00,7028492934.00
2005-06-17,1090.11,1094.67,1079.08,1085.61,1675256200.00,8420848126.00
2005-06-20,1087.85,1115.86,1073.41,1115.62,2146861900.00,10148733457.00
2005-06-21,1115.66,1115.66,1098.90,1101.49,1547809000.00,7335782311.00
2005-06-22,1098.96,1103.25,1090.74,1102.03,1235145300.00,5901879092.00
2005-06-23,1100.56,1106.75,1092.48,1093.70,1148488600.00,5472687518.00
2005-06-24,1091.99,1102.23,1087.69,1101.88,1112107500.00,5084831455.00
2005-06-27,1108.46,1129.96,1108.46,1124.64,2184238100.00,10530160508.00
2005-06-28,1120.94,1120.94,1105.34,1108.59,1345843100.00,6311797669.00
2005-06-29,1111.67,1113.52,1103.91,1104.99,1346937900.00,6542253118.00
2005-06-30,1103.48,1103.48,1078.10,1080.94,1378595900.00,6406963194.00
2005-07-01,1077.31,1077.31,1053.63,1055.59,1359781400.00,6137893150.00
2005-07-04,1050.24,1050.24,1030.18,1047.28,1227595800.00,5092031903.00
2005-07-05,1043.88,1047.82,1032.52,1039.04,1049488500.00,5146902358.00
2005-07-06,1040.70,1044.78,1028.22,1033.55,919642800.00,4259548336.00
2005-07-07,1033.22,1044.05,1030.50,1038.60,857042600.00,3675447724.00
2005-07-08,1036.41,1036.41,1015.40,1017.98,1033736700.00,4339924414.00
2005-07-11,1026.79,1043.21,1009.04,1011.50,1133036100.00,4783909296.00
2005-07-12,1007.90,1048.92,1004.08,1046.16,1845780500.00,8182997692.00
2005-07-13,1044.58,1045.94,1033.81,1037.39,1282197400.00,5622988097.00
2005-07-14,1035.53,1049.88,1033.16,1040.42,1257109300.00,5531864993.00
2005-07-15,1039.61,1046.36,1021.99,1026.12,1275051400.00,5238358872.00
2005-07-18,1023.38,1023.38,1008.52,1012.10,1096484200.00,4263923089.00
2005-07-19,1011.00,1020.67,1004.66,1014.36,988231600.00,3987357569.00
2005-07-20,1013.98,1025.10,1008.68,1021.05,1056855900.00,4443606933.00
2005-07-21,1020.69,1022.04,1009.99,1020.63,1114036000.00,4828597703.00
2005-07-22,1026.13,1054.63,1024.00,1046.32,2548834900.00,10988269739.00
2005-07-25,1045.27,1048.97,1040.59,1045.40,1413410800.00,6133576306.00
2005-07-26,1046.54,1078.06,1046.54,1072.81,2557751000.00,10988613261.00
2005-07-27,1072.56,1090.18,1068.50,1089.91,2381234800.00,10151048405.00
2005-07-28,1090.11,1097.63,1083.36,1086.55,2469584700.00,10644640198.00
2005-07-29,1084.97,1088.48,1077.12,1083.03,1768394400.00,7214533126.00
2005-08-01,1082.80,1094.15,1081.12,1088.95,1473155100.00,6157190985.00
2005-08-02,1089.53,1104.04,1084.80,1104.04,1901501900.00,7692844548.00
2005-08-03,1106.32,1120.68,1103.90,1107.70,3143645400.00,12776479101.00
2005-08-04,1104.91,1108.16,1099.13,1102.59,1943679800.00,7868619791.00
2005-08-05,1102.62,1129.07,1102.60,1128.74,2709606900.00,12420792617.00
2005-08-08,1131.80,1146.73,1131.80,1138.88,3023752600.00,13802876400.00
2005-08-09,1139.12,1152.94,1130.59,1152.53,2715409100.00,12046498213.00
2005-08-10,1153.21,1165.13,1144.95,1165.03,3142711500.00,13534191948.00
2005-08-11,1165.44,1184.26,1164.10,1183.58,3696703700.00,16887079977.00
2005-08-12,1185.27,1192.05,1161.79,1167.91,4047875500.00,18050448555.00
2005-08-15,1167.03,1187.80,1163.85,1187.01,3031951900.00,14789329131.00
2005-08-16,1188.02,1192.92,1170.11,1177.28,3315537900.00,15905673659.00
2005-08-17,1175.18,1193.57,1160.08,1192.83,3230734100.00,14750159881.00
2005-08-18,1194.44,1201.76,1146.56,1148.04,4920149600.00,22157494645.00
2005-08-19,1144.46,1157.37,1132.87,1150.18,3150118500.00,13643291194.00
2005-08-22,1148.97,1162.04,1142.68,1158.60,2403319800.00,10541833524.00
2005-08-23,1158.83,1159.63,1139.24,1149.96,2184070800.00,9541762874.00
2005-08-24,1151.45,1171.43,1151.45,1167.14,2267410900.00,9988171132.00
2005-08-25,1168.00,1172.69,1157.18,1172.47,2423209800.00,10524238060.00
2005-08-26,1173.01,1174.54,1163.99,1171.86,2429635600.00,10435816259.00
2005-08-29,1172.00,1172.01,1147.93,1154.43,2433319500.00,10038648666.00
2005-08-30,1151.62,1153.77,1145.27,1146.38,1855186200.00,8143989898.00
2005-08-31,1145.81,1163.52,1140.10,1162.80,2167609900.00,9602700078.00
2005-09-01,1163.70,1185.76,1160.05,1184.93,3383047500.00,15061854155.00
2005-09-02,1187.06,1188.91,1179.11,1188.85,2892049000.00,12859547726.00
2005-09-05,1189.07,1196.87,1184.01,1196.22,2670006600.00,11748627428.00
2005-09-06,1197.23,1201.82,1172.06,1173.32,3368527300.00,15305132545.00
2005-09-07,1170.77,1194.59,1168.58,1194.31,2860285100.00,13196057601.00
2005-09-08,1196.27,1201.46,1184.79,1194.41,3052805600.00,14509460137.00
2005-09-09,1194.49,1204.46,1184.42,1189.63,2215574600.00,10145676776.00
2005-09-12,1189.75,1191.93,1181.43,1188.21,1709668900.00,7740563991.00
2005-09-13,1188.25,1207.40,1186.22,1207.16,2591370500.00,11717912656.00
2005-09-14,1209.27,1217.41,1204.55,1217.26,3224376100.00,14981766088.00
2005-09-15,1217.52,1218.94,1210.72,1217.28,2721749200.00,12897080342.00
2005-09-16,1217.42,1217.76,1208.56,1212.95,2239722500.00,10462806779.00
2005-09-19,1213.49,1220.97,1210.19,1220.63,2465689300.00,11635692411.00
2005-09-20,1222.26,1223.57,1204.87,1212.62,3230069200.00,15130012474.00
2005-09-21,1210.85,1210.85,1186.98,1187.99,3179946400.00,14256992880.00
2005-09-22,1185.69,1185.69,1147.19,1159.96,2860227400.00,13184536857.00
2005-09-23,1157.30,1164.60,1149.74,1151.98,1877439400.00,8582252840.00
2005-09-26,1150.93,1155.60,1147.27,1155.04,1453813300.00,6863233444.00
2005-09-27,1155.05,1157.80,1132.53,1133.24,1809362900.00,8530863392.00
2005-09-28,1131.32,1142.49,1129.05,1131.77,1475154300.00,6830650086.00
2005-09-29,1134.44,1155.78,1134.44,1155.48,1853699200.00,8633593137.00
2005-09-30,1156.77,1158.70,1150.63,1155.61,1449348100.00,6959506603.00
2005-10-10,1153.67,1153.67,1137.29,1138.95,1172006500.00,5461397813.00
2005-10-11,1137.95,1157.30,1133.89,1157.19,1342656000.00,6399253859.00
2005-10-12,1157.48,1165.67,1152.25,1161.85,1846723100.00,9335207445.00
2005-10-13,1162.02,1165.36,1152.09,1152.61,1690523900.00,8600493455.00
2005-10-14,1152.37,1154.32,1135.51,1139.55,1514599900.00,7740778259.00
2005-10-17,1138.38,1138.38,1121.97,1131.38,1513523800.00,7421971653.00
2005-10-18,1131.26,1142.04,1129.67,1141.20,1892809000.00,9264639121.00
2005-10-19,1141.05,1150.59,1132.48,1134.61,1890839900.00,9088381830.00
2005-10-20,1133.45,1136.31,1119.38,1135.95,1737181700.00,8498979298.00
2005-10-21,1135.61,1145.99,1132.36,1141.32,1801115400.00,8653627199.00
2005-10-24,1141.33,1143.46,1133.92,1141.17,1727591300.00,8118828980.00
2005-10-25,1140.17,1140.17,1121.29,1121.92,1692991400.00,8050067377.00
2005-10-26,1119.43,1119.43,1094.57,1097.16,1921183500.00,8706265866.00
2005-10-27,1093.93,1101.27,1087.48,1097.78,1720374200.00,8081971104.00
2005-10-28,1097.59,1102.02,1067.41,1080.87,1797392900.00,8018875998.00
2005-10-31,1079.04,1096.15,1078.29,1092.82,1483514200.00,6516479252.00
2005-11-01,1091.68,1094.15,1074.30,1089.95,1398550100.00,6325525521.00
2005-11-02,1090.00,1108.88,1090.00,1104.79,1876477900.00,8157757354.00
2005-11-03,1104.59,1111.44,1090.82,1095.27,1686269400.00,7510888302.00
2005-11-04,1094.26,1100.43,1087.85,1100.05,1278313800.00,5950850807.00
2005-11-07,1099.53,1100.95,1089.83,1100.65,1208227900.00,5464935472.00
2005-11-08,1099.94,1111.12,1092.54,1110.15,1531116400.00,6723296311.00
2005-11-09,1110.55,1117.06,1107.64,1108.15,1672545300.00,7503735562.00
2005-11-10,1106.94,1106.94,1086.10,1088.30,1615598500.00,7112323820.00
2005-11-11,1085.69,1094.31,1078.58,1090.19,1256003200.00,5378455751.00
2005-11-14,1089.56,1089.71,1083.02,1088.65,920268800.00,3894572787.00
2005-11-15,1088.51,1099.03,1082.51,1087.51,1221575300.00,5351842101.00
2005-11-16,1086.83,1096.30,1075.43,1095.89,1260864600.00,5363158690.00
2005-11-17,1094.88,1098.67,1090.36,1095.31,1196180200.00,5135462838.00
2005-11-18,1095.52,1122.61,1093.53,1117.00,2248062900.00,9760979074.00
2005-11-21,1117.78,1122.88,1114.24,1119.94,1554390600.00,6496171929.00
2005-11-22,1119.69,1119.69,1098.49,1098.65,1464680500.00,5958941132.00
2005-11-23,1096.56,1106.48,1093.95,1105.75,1260191900.00,4988739517.00
2005-11-24,1105.34,1117.94,1103.76,1113.37,1714095800.00,7054042652.00
2005-11-25,1113.28,1115.08,1107.21,1114.92,1550915000.00,6192051319.00
2005-11-28,1113.83,1119.35,1106.94,1110.82,1285240800.00,5410846132.00
2005-11-29,1109.57,1110.31,1095.34,1096.99,1187993800.00,4850380689.00
2005-11-30,1095.30,1099.58,1090.72,1099.26,1087597500.00,4617599443.00
2005-12-01,1098.78,1104.56,1094.44,1098.75,893211900.00,4050471415.00
2005-12-02,1099.76,1102.76,1089.56,1094.29,1063697400.00,4672796743.00
2005-12-05,1093.10,1093.10,1077.40,1079.20,1122496500.00,4817780008.00
2005-12-06,1077.58,1089.59,1074.01,1087.79,1105274500.00,4877157993.00
2005-12-07,1087.74,1100.05,1086.73,1099.62,1038938300.00,4594163246.00
2005-12-08,1100.68,1106.34,1092.99,1098.32,1039870900.00,4671671004.00
2005-12-09,1097.52,1114.58,1094.74,1113.48,1348701000.00,6071547008.00
2005-12-12,1115.75,1118.53,1109.08,1116.37,1194463700.00,5462027464.00
2005-12-13,1115.77,1119.42,1106.75,1117.85,1137609200.00,5192940033.00
2005-12-14,1117.47,1127.63,1110.21,1125.39,1502212400.00,7022886804.00
2005-12-15,1125.67,1134.85,1121.56,1123.56,1682425900.00,7606543982.00
2005-12-16,1122.73,1127.94,1118.94,1127.51,1261077700.00,5810025347.00
2005-12-19,1127.84,1134.50,1123.50,1131.75,1222867800.00,5214816908.00
2005-12-20,1131.80,1136.39,1126.99,1136.34,1171271000.00,5224166565.00
2005-12-21,1135.98,1142.39,1128.94,1130.76,1229232200.00,5550112818.00
2005-12-22,1129.56,1136.00,1125.95,1135.24,1112153900.00,5187955174.00
2005-12-23,1135.70,1144.94,1135.07,1144.87,1447255300.00,6620143423.00
2005-12-26,1145.77,1159.78,1145.34,1156.82,1865313300.00,8583105005.00
2005-12-27,1157.49,1158.16,1149.85,1154.29,1567388300.00,7091742297.00
2005-12-28,1155.12,1157.20,1149.27,1157.03,1468028600.00,6585027609.00
2005-12-29,1157.51,1169.87,1157.51,1169.86,2180339900.00,10681224358.00
2005-12-30,1171.58,1173.06,1158.97,1161.06,2002793400.00,10196713857.00
2006-01-04,1163.88,1181.00,1161.91,1180.96,2325854200.00,11970425035.00
2006-01-05,1183.31,1197.84,1180.45,1197.27,2948447900.00,14767201450.00
2006-01-06,1198.81,1215.54,1191.61,1209.42,3434285600.00,17130467164.00
2006-01-09,1210.32,1217.31,1205.25,1215.67,2870665700.00,14206400301.00
2006-01-10,1215.85,1220.76,1203.65,1220.62,2679454700.00,13496372593.00
2006-01-11,1219.81,1223.56,1204.04,1211.05,3063146400.00,15064367454.00
2006-01-12,1208.77,1227.30,1205.28,1226.70,2701891600.00,12903535168.00
2006-01-13,1228.16,1231.22,1214.88,1221.46,2770857800.00,13205628847.00
2006-01-16,1221.11,1221.39,1202.59,1202.87,2527431800.00,11984845886.00
2006-01-17,1200.26,1209.02,1198.84,1208.44,1972646200.00,9452655613.00
2006-01-18,1207.53,1234.53,1206.36,1233.35,2666785400.00,12458427121.00
2006-01-19,1235.08,1251.96,1230.85,1251.58,3361774900.00,15371377884.00
2006-01-20,1251.41,1258.70,1247.20,1255.31,3320392300.00,16220854863.00
2006-01-23,1254.78,1257.35,1244.27,1255.77,2902866000.00,14114136663.00
2006-01-24,1256.01,1262.09,1247.01,1252.06,2967142100.00,15779296153.00
2006-01-25,1251.27,1260.17,1245.92,1258.05,2655866000.00,13682169574.00
2006-02-06,1263.00,1287.66,1263.00,1287.63,2917750700.00,14910754726.00
2006-02-07,1289.45,1297.40,1270.40,1282.10,3840474100.00,19670593251.00
2006-02-08,1282.12,1291.74,1276.02,1290.06,3285729900.00,16340287449.00
2006-02-09,1288.97,1288.97,1266.81,1269.45,2907909100.00,14199096200.00
2006-02-10,1269.54,1284.10,1266.22,1282.66,2631421100.00,13158590275.00
2006-02-13,1283.78,1284.95,1267.56,1279.64,2613177200.00,12998010712.00
2006-02-14,1279.63,1286.42,1275.85,1286.33,2254170400.00,11114639691.00
2006-02-15,1289.14,1300.99,1288.64,1299.17,3014790400.00,14778787047.00
2006-02-16,1298.50,1298.50,1268.56,1270.63,3235260700.00,15711529868.00
2006-02-17,1269.40,1280.04,1265.14,1267.41,2590306700.00,12612954583.00
2006-02-20,1268.11,1279.42,1265.38,1267.54,2154279700.00,10469048170.00
2006-02-21,1266.64,1288.55,1256.81,1288.42,2665902100.00,12932889789.00
2006-02-22,1288.85,1297.94,1282.91,1284.23,2851784100.00,13583894015.00
2006-02-23,1284.13,1289.94,1273.94,1288.85,2287504700.00,10638933783.00
2006-02-24,1289.43,1297.34,1286.96,1296.87,2357814800.00,11377200922.00
2006-02-27,1297.69,1304.61,1293.47,1297.19,2681978500.00,13278273095.00
2006-02-28,1294.81,1299.47,1277.74,1299.03,2364742200.00,11698977874.00
2006-03-01,1299.15,1308.20,1297.76,1306.59,2364067400.00,11713886665.00
2006-03-02,1306.59,1307.64,1281.57,1285.67,2844572900.00,14619800288.00
2006-03-03,1284.61,1295.41,1275.62,1293.30,2492545800.00,12505595080.00
2006-03-06,1292.75,1296.85,1286.64,1288.95,2032958200.00,9697600024.00
2006-03-07,1288.26,1288.26,1257.54,1259.92,2265339500.00,10611752979.00
2006-03-08,1256.68,1258.24,1238.16,1250.38,1984157400.00,9328367206.00
2006-03-09,1247.46,1253.76,1242.68,1245.17,1538593400.00,7572686295.00
2006-03-10,1245.19,1253.91,1240.75,1245.65,1409562600.00,7034995125.00
2006-03-13,1245.30,1260.07,1245.30,1259.67,1377515300.00,6762688336.00
2006-03-14,1260.42,1262.75,1250.28,1259.04,1487571200.00,7156890130.00
2006-03-15,1259.23,1275.52,1258.15,1274.81,1845126900.00,9402430254.00
2006-03-16,1274.62,1277.19,1270.83,1274.19,1832269900.00,9294380375.00
2006-03-17,1273.01,1276.63,1265.61,1269.46,1875480400.00,9258870683.00
2006-03-20,1269.58,1288.97,1264.41,1288.42,2029717400.00,9830202821.00
2006-03-21,1288.56,1297.61,1285.43,1290.39,2434568700.00,12044252276.00
2006-03-22,1289.46,1296.91,1281.13,1296.71,2233009000.00,10977859974.00
2006-03-23,1296.19,1302.79,1289.53,1302.46,2546540800.00,12667480373.00
2006-03-24,1302.14,1308.06,1293.30,1294.70,2442393600.00,12420500906.00
2006-03-27,1296.07,1296.59,1283.68,1295.91,2061324600.00,10310244124.00
2006-03-28,1295.76,1302.65,1293.00,1298.79,2501182600.00,11798730430.00
2006-03-29,1299.38,1313.13,1296.59,1305.57,3415223600.00,17299640360.00
2006-03-30,1305.84,1308.50,1293.83,1294.72,2603882700.00,13523584673.00
2006-03-31,1291.52,1298.75,1285.73,1298.30,2663685800.00,13957859443.00
2006-04-03,1298.68,1319.48,1298.68,1319.47,3280466900.00,17513531801.00
2006-04-04,1319.84,1330.11,1315.33,1329.80,3713405000.00,19932253301.00
2006-04-05,1330.56,1341.50,1326.53,1340.16,3776319800.00,20009046284.00
2006-04-06,1341.74,1348.52,1336.14,1339.74,4171507500.00,22006608985.00
2006-04-07,1340.65,1345.29,1330.51,1342.96,4066605500.00,20781669064.00
2006-04-10,1344.24,1359.41,1339.52,1359.08,4141542800.00,20511655711.00
2006-04-11,1360.98,1366.52,1350.32,1362.23,4387040800.00,22753839571.00
2006-04-12,1361.74,1364.69,1355.65,1360.13,3712907200.00,18649703724.00
2006-04-13,1359.28,1364.32,1331.68,1332.33,4129905500.00,20205465502.00
2006-04-14,1330.10,1360.09,1328.43,1359.54,3787121900.00,17964278869.00
2006-04-17,1360.64,1383.65,1353.40,1378.61,4221976100.00,20238073664.00
2006-04-18,1379.81,1391.38,1370.15,1385.11,3678518100.00,18176065110.00
2006-04-19,1389.13,1399.55,1378.80,1396.70,4057816300.00,21447388304.00
2006-04-20,1398.10,1404.19,1376.96,1385.90,4330328800.00,23759758644.00
2006-04-21,1385.92,1419.89,1383.45,1416.79,4556910300.00,24823370098.00
2006-04-24,1423.41,1429.06,1402.27,1409.79,5201580300.00,28552131616.00
2006-04-25,1405.90,1409.27,1386.13,1399.77,4324883600.00,24511654275.00
2006-04-26,1399.07,1426.63,1397.35,1417.48,4841064900.00,27897759737.00
2006-04-27,1418.90,1424.46,1407.14,1416.73,3760844400.00,21064881051.00
2006-04-28,1403.52,1444.71,1389.35,1440.22,4456204300.00,25076312378.00
2006-05-08,1446.99,1497.20,1446.99,1497.10,5162065500.00,29260804817.00
2006-05-09,1503.24,1532.75,1497.99,1531.16,6468390400.00,36327086939.00
2006-05-10,1537.56,1554.03,1518.34,1545.69,6271709600.00,35931317939.00
2006-05-11,1547.56,1583.76,1536.29,1537.38,7321833500.00,42935467046.00
2006-05-12,1532.88,1603.21,1531.23,1602.83,6839375200.00,41492555006.00
2006-05-15,1616.26,1664.94,1606.57,1664.09,8772527000.00,52436501239.00
2006-05-16,1658.69,1678.60,1604.78,1613.25,8827504000.00,53444626416.00
2006-05-17,1613.23,1640.69,1592.18,1625.15,7098053400.00,42970463909.00
2006-05-18,1611.66,1630.07,1582.96,1617.28,6058510700.00,35559097667.00
2006-05-19,1620.21,1664.61,1610.04,1659.55,7708629100.00,41434527427.00
2006-05-22,1656.75,1674.22,1646.68,1657.69,7725887300.00,43695717336.00
2006-05-23,1647.96,1648.53,1597.10,1604.55,6990014500.00,38919582106.00
2006-05-24,1609.74,1634.59,1562.39,1590.92,5727043200.00,32875831926.00
2006-05-25,1585.47,1598.56,1563.86,1591.42,4104937200.00,23023859728.00
2006-05-26,1596.57,1614.55,1593.09,1613.89,4372253200.00,24308642671.00
2006-05-29,1622.11,1648.84,1609.01,1648.54,5171516800.00,29314321524.00
2006-05-30,1654.98,1663.93,1634.90,1657.29,5308773300.00,31990664198.00
2006-05-31,1656.28,1667.23,1628.68,1641.30,5701597900.00,33089439894.00
2006-06-01,1639.67,1684.71,1635.75,1684.19,6784386400.00,38465780731.00
2006-06-02,1688.78,1695.58,1659.14,1669.40,7814469100.00,44915922420.00
2006-06-05,1669.24,1685.29,1639.68,1684.62,6729777100.00,36276144270.00
2006-06-06,1681.22,1692.83,1672.81,1679.13,5842296000.00,32173005450.00
2006-06-07,1678.24,1678.24,1588.97,1589.55,6508531600.00,37165949586.00
2006-06-08,1576.43,1596.12,1540.93,1591.49,5457687300.00,30237702240.00
2006-06-09,1583.96,1594.44,1550.20,1551.38,4700391700.00,25969107019.00
2006-06-12,1540.22,1566.45,1529.50,1552.80,3149627400.00,18350032479.00
2006-06-13,1552.10,1570.10,1532.06,1548.49,3245068300.00,18252967053.00
2006-06-14,1540.63,1540.63,1512.52,1531.33,3243810300.00,17489724159.00
2006-06-15,1531.25,1551.30,1528.23,1533.98,2847339800.00,15749530834.00
2006-06-16,1540.19,1574.47,1540.19,1574.47,3357261200.00,18773707617.00
2006-06-19,1559.98,1591.85,1544.93,1586.29,3556204700.00,20635199162.00
2006-06-20,1583.87,1592.83,1572.58,1592.33,3553711100.00,20658724948.00
2006-06-21,1590.61,1617.71,1570.08,1598.12,3970588000.00,22426544902.00
2006-06-22,1593.10,1605.25,1587.80,1596.07,3246588800.00,18310093363.00
2006-06-23,1594.49,1608.11,1582.02,1605.71,3502677800.00,20932009523.00
2006-06-26,1607.79,1635.80,1607.79,1633.45,3949925000.00,23927245387.00
2006-06-27,1636.70,1642.57,1627.59,1639.55,3645178400.00,21481437588.00
2006-06-28,1638.23,1642.35,1627.07,1639.29,3322060100.00,18652269224.00
2006-06-29,1641.93,1672.10,1641.93,1671.62,5179902800.00,29018734618.00
2006-06-30,1679.72,1690.95,1662.28,1672.21,4983707600.00,28588342410.00
2006-07-03,1677.31,1697.83,1670.02,1697.28,4863659200.00,28446545723.00
2006-07-04,1700.32,1702.66,1670.13,1681.55,5431649200.00,32718658218.00
